,"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
278,"Strahm, Matt",621381,54.1,14.6,11.8,19.5,,,,,,
279,"Garrett, Reed",657585,16.5,12.8,23.7,,,,27.1,,19.9,
280,"Kuhl, Chad",641771,9.1,23.2,9.3,35.6,12.6,,,,10.3,
281,"Thompson, Ryan",657044,10.2,64.1,,25.7,,,,,,
282,"Stanek, Ryne",592773,60.0,2.0,,16.6,,,21.4,,,
283,"Díaz, Alexis",664747,57.9,,,42.1,,,,,,
284,"Suarez, Robert",663158,71.4,15.6,0.4,,12.6,,,,,
285,"Bummer, Aaron",607481,10.0,39.8,5.0,,1.1,2.3,,,41.8,
286,"Voth, Austin",608723,23.7,,33.8,,,18.9,,,23.6,
287,"Pressly, Ryan",519151,33.3,1.8,,28.9,11.1,24.9,,,,
288,"Meyer, Max",676974,39.4,2.1,,40.7,17.9,,,,,
289,"Chafin, Andrew",605177,16.6,37.5,,45.8,,,,,,
290,"Boyle, Joe",671212,59.0,,,34.3,,3.7,,,3.0,
291,"Kimbrel, Craig",518886,65.7,,,,0.5,28.9,,,4.9,
292,"Soto, Gregory",642397,12.2,45.6,0.7,33.5,,,,,7.9,
293,"Kelly, Zack",677161,29.9,,21.9,,20.9,,,,27.2,
294,"Bender, Anthony",669622,4.1,45.2,,,3.9,,,,46.9,
295,"Muñoz, Andrés",662253,32.2,20.7,,47.1,,,,,,
296,"Zerpa, Angel",672582,20.1,43.3,,26.0,10.3,0.3,,,,
297,"Nicolas, Kyle",693312,55.1,,,22.4,,22.5,,,,
298,"Erceg, Lucas",668674,30.9,21.3,,27.9,19.9,,,,,
299,"Garcia, Robert",676395,52.9,,,16.0,31.2,,,,,
300,"Anderson, Justin",605121,32.6,14.5,7.6,45.3,,,,,,
301,"Junis, Jakob",596001,10.0,36.2,0.2,45.3,8.4,,,,,
302,"Ferguson, Caleb",657571,43.3,9.8,26.5,,,,,,0.2,20.2
303,"Rainey, Tanner",663432,70.9,,,27.7,1.4,,,,,
304,"Miller, Tyson",668338,47.3,3.4,,,2.2,3.2,,,43.8,
305,"Webb, Jacob",657097,44.3,,,,27.7,,,,28.1,
306,"Alcala, Jorge",660896,44.3,7.5,,38.7,9.6,,,,,
307,"Helsley, Ryan",664854,45.4,,,48.3,,6.2,,,,
308,"Iglesias, Raisel",628452,28.4,20.2,,20.7,30.7,,,,,
309,"Hudson, Bryan",663542,52.1,,24.6,,,,,,23.3,
310,"Romero, JoJo",668941,9.9,39.1,,33.9,17.1,,,,,
311,"Phillips, Evan",623465,36.5,10.1,14.7,,,,,,38.6,
312,"Jackson, Luke",592426,31.7,,0.9,51.9,,15.5,,,,
313,"Johnson, Pierce",572955,24.1,,4.3,,,71.6,,,,
314,"Turnbull, Spencer",605513,34.8,12.3,,5.3,5.3,9.0,,,33.2,
315,"Díaz, Edwin",621242,52.1,,,47.9,,,,,,
316,"Nardi, Andrew",677053,60.8,,,38.4,0.8,,,,,
317,"Harvey, Hunter",640451,62.9,,,4.6,,9.3,23.2,,,
318,"Roupp, Landen",694738,1.8,40.5,,4.2,9.4,44.2,,,,
319,"Foley, Jason",671345,8.2,54.7,,31.5,5.6,,,,,
320,"McArthur, James",663704,9.0,35.8,,21.6,,33.7,,,,
321,"Varland, Louie",686973,42.5,3.8,27.7,,10.4,15.5,,,,
322,"Brazobán, Huascar",623211,21.8,24.6,24.9,,28.7,,,,,
323,"Payamps, Joel",606303,32.9,19.1,,40.3,7.7,,,,,
324,"García, Luis",472610,6.0,52.5,1.7,12.4,,,18.6,,8.8,
325,"Smith, Burch",572143,50.0,0.2,21.4,,0.8,18.3,,,9.3,
326,"Schreiber, John",670167,24.5,25.9,16.5,,6.1,,,,26.9,
327,"Martin, Davis",663436,28.5,,17.5,26.8,19.6,7.6,,,,
328,"Thielbar, Caleb",573204,43.4,,,0.7,,24.8,,,31.1,
329,"Sims, Lucas",608371,31.4,,15.5,2.7,,7.1,0.2,,43.1,
330,"Duran, Jhoan",661395,40.7,,,,,27.8,31.4,,,
331,"Rodríguez, Randy",678495,47.3,7.3,,39.8,5.6,,,,,
332,"Holderman, Colin",670059,0.7,26.0,25.7,,,,,,47.6,
333,"Mantiply, Joe",573009,4.4,42.7,,,26.4,26.5,,,,
334,"Mlodzinski, Carmen",669387,39.8,,20.0,27.9,0.3,,,,11.9,
335,"Rodriguez, Eduardo",593958,44.0,7.6,19.3,6.6,22.5,,,,,
336,"Elder, Bryce",693821,12.7,42.6,,31.5,13.2,,,,,
337,"Pérez, Cionel",672335,24.2,38.3,,37.5,,,,,,
338,"Bernardino, Brennan",657514,,46.6,11.2,7.1,,35.1,,,,
339,"Lee, Dylan",669276,33.2,,,54.7,12.1,,,,,
340,"Kochanowicz, Jack",686799,6.2,72.4,,,3.0,18.4,,,,
341,"King, John",667463,1.5,58.8,,12.0,27.7,,,,,
342,"Moore, Matt",519043,50.0,,0.7,,31.7,17.6,,,,
